service_id,date,exception_type
433@5,20230407,1
433@1,20230407,2
470@5,20230407,1
470@1,20230407,2
436@5,20230407,1
436@1,20230407,2
4382@5,20230407,1
4382@1,20230407,2
441@5,20230407,1
441@1,20230407,2
T8@5,20230407,1
T8@1,20230407,2
473@5,20230407,1
473@1,20230407,2
M76@5,20230407,1
M76@1,20230407,2
A97@5,20230407,1
A97@1,20230407,2
A974@5,20230407,1
A974@1,20230407,2
491@5,20230407,1
491@1,20230407,2
4944@5,20230407,1
4944@1,20230407,2
4951@5,20230407,1
4951@1,20230407,2
50.1@5,20230407,1
50.1@1,20230407,2
5203@5,20230407,1
5203@1,20230407,2
525@5,20230407,1
525@1,20230407,2
T7@5,20230407,1
T7@1,20230407,2
60.1@5,20230407,1
60.1@1,20230407,2
60.4@5,20230407,1
60.4@1,20230407,2
60.5@5,20230407,1
60.5@1,20230407,2
605@5,20230407,1
605@1,20230407,2
608@5,20230407,1
608@1,20230407,2
6102@5,20230407,1
6102@1,20230407,2
6135@5,20230407,1
6135@1,20230407,2
620@5,20230407,1
620@1,20230407,2
520@5,20230407,1
520@1,20230407,2
621@5,20230407,1
621@1,20230407,2
624@5,20230407,1
624@1,20230407,2
B25@5,20230407,1
B25@1,20230407,2
627@5,20230407,1
627@1,20230407,2
A27@5,20230407,1
A27@1,20230407,2
6276@5,20230407,1
6276@1,20230407,2
631@5,20230407,1
631@1,20230407,2
M21@5,20230407,1
M21@1,20230407,2
M31@5,20230407,1
M31@1,20230407,2
632@5,20230407,1
632@1,20230407,2
637@5,20230407,1
637@1,20230407,2
6372@5,20230407,1
6372@1,20230407,2
650@5,20230407,1
650@1,20230407,2
652@5,20230407,1
652@1,20230407,2
M52@5,20230407,1
M52@1,20230407,2
6531@5,20230407,1
6531@1,20230407,2
654@5,20230407,1
654@1,20230407,2
656@5,20230407,1
656@1,20230407,2
B51@5,20230407,1
B51@1,20230407,2
659@5,20230407,1
659@1,20230407,2
A62@5,20230407,1
A62@1,20230407,2
662@5,20230407,1
