service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
171@1,1,1,1,1,1,0,0,20230313,20230613
171@2,0,0,0,0,0,1,0,20230313,20230613
171@3,0,0,0,0,0,0,1,20230313,20230613
171@5,0,0,0,0,0,0,0,20230313,20230613
O171@2,0,0,0,0,0,1,0,20230313,20230613
O171@3,0,0,0,0,0,0,1,20230313,20230613
O171@5,0,0,0,0,0,0,0,20230313,20230613
1713@1,1,1,1,1,1,0,0,20230313,20230613
1714@1,1,1,1,1,1,0,0,20230313,20230613
R5@1,1,1,1,1,1,0,0,20230313,20230613
1716@1,1,1,1,1,1,0,0,20230313,20230613
1716@2,0,0,0,0,0,1,0,20230313,20230613
1716@3,0,0,0,0,0,0,1,20230313,20230613
1716@5,0,0,0,0,0,0,0,20230313,20230613
1715@1,1,1,1,1,1,0,0,20230313,20230613
173@1,1,1,1,1,1,0,0,20230313,20230613
173@2,0,0,0,0,0,1,0,20230313,20230613
173@3,0,0,0,0,0,0,1,20230313,20230613
173@5,0,0,0,0,0,0,0,20230313,20230613
1761@1,1,1,1,1,1,0,0,20230313,20230613
177@1,1,1,1,1,1,0,0,20230313,20230613
177@2,0,0,0,0,0,1,0,20230313,20230613
177@3,0,0,0,0,0,0,1,20230313,20230613
177@5,0,0,0,0,0,0,0,20230313,20230613
178@1,1,1,1,1,1,0,0,20230313,20230613
178@2,0,0,0,0,0,1,0,20230313,20230613
178@3,0,0,0,0,0,0,1,20230313,20230613
178@5,0,0,0,0,0,0,0,20230313,20230613
179@1,1,1,1,1,1,0,0,20230313,20230613
179@2,0,0,0,0,0,1,0,20230313,20230613
179@3,0,0,0,0,0,0,1,20230313,20230613
179@5,0,0,0,0,0,0,0,20230313,20230613
1792@1,1,1,1,1,1,0,0,20230313,20230613
176@1,1,1,1,1,1,0,0,20230313,20230613
176@2,0,0,0,0,0,1,0,20230313,20230613
176@3,0,0,0,0,0,0,1,20230313,20230613
176@5,0,0,0,0,0,0,0,20230313,20230613
M79@1,1,1,1,1,1,0,0,20230313,20230613
M79@2,0,0,0,0,0,1,0,20230313,20230613
M79@3,0,0,0,0,0,0,1,20230313,20230613
M79@5,0,0,0,0,0,0,0,20230313,20230613
1795@1,1,1,1,1,1,0,0,20230313,20230613
1795@2,0,0,0,0,0,1,0,20230313,20230613
280@1,1,1,1,1,1,0,0,20230313,20230613
C80@1,1,1,1,1,1,0,0,20230313,20230613
C80@2,0,0,0,0,0,1,0,20230313,20230613
C80@3,0,0,0,0,0,0,1,20230313,20230613
C80@5,0,0,0,0,0,0,0,20230313,20230613
C801@1,1,1,1,1,1,0,0,20230313,20230613
C802@1,1,1,1,1,1,0,0,20230313,20230613
282@1,1,1,1,1,1,0,0,20230313,20230613
282@2,0,0,0,0,0,1,0,20230313,20230613
282@3,0,0,0,0,0,0,1,20230313,20230613
282@5,0,0,0,0,0,0,0,20230313,20230613
2821@1,1,1,1,1,1,0,0,20230313,20230613
2821@2,0,0,0,0,0,1,0,20230313,20230613
2821@3,0,0,0,0,0,0,1,20230313,20230613
2821@5,0,0,0,0,0,0,0,20230313,20230613
2822@1,1,1,1,1,1,0,0,20230313,20230613
184@1,1,1,1,1,1,0,0,20230313,20230613
184@2,0,0,0,0,0,1,0,20230313,20230613
184@3,0,0,0,0,0,0,1,20230313,20230613
184@5,0,0,0,0,0,0,0,20230313,20230613
